"%s. Please try again or attempt refreshing the page.","%s. Tente novamente ou atualize a página."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Para usar este módulo você precisará de uma conta Braintree de produção ou sandbox existente. Você pode se inscrever em <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Integração Braintree v.zero fornecida por <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Você deve primeiro configurar a seção <strong>Braintree v.zero - Configuration</strong> com os dados da sua conta Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Autorizar e Capturar</strong> - Liquidaremos a transação instantaneamente durante o checkout."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Autorizar</strong> - Apenas autoriza o pagamento e armazena um token, a transação não será liquidada.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Pagamentos Futuros</strong> - Permite salvar a conta PayPal do cliente para compras futuras e uso com o Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Pagamento Único</strong> - Exigirá apenas que o cliente faça login, poderemos realizar apenas um único pagamento<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Aviso:</strong> Não use 'Sandbox' em um ambiente de produção.<br />"
"Amount","Valor"
"Are you sure you want to remove this payment method?","Tem certeza de que deseja remover este método de pagamento?"
"Australia","Austrália"
"Authorization Expired","Autorização Expirada"
"Authorize","Autorizar"
"Authorize & Capture","Autorizar e Capturar"
"Authorized","Autorizado"
"Authorizing","Autorizando"
"Braintree Account Details","Dados da Conta Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","O Braintree oferece uma integração direta com o Kount, nosso parceiro para fornecer tecnologia avançada de detecção de fraudes. Para usar este recurso, você deve processar pelo menos 2500 transações por mês e estará sujeito a taxas adicionais do Kount por seus serviços. Para começar, entre em contato com accounts@braintreepayments.com. Você pode ver mais informações <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">aqui</a>."
"Braintree PHP SDK Version","Versão do SDK PHP do Braintree"
"Braintree Status","Status do Braintree"
"Braintree Transactions","Transações Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configuração"
"Braintree v.zero - Credit Card","Braintree v.zero - Cartão de Crédito"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Comprar Agora"
"Canada","Canadá"
"Cancel","Cancelar"
"Capture","Capturar"
"Capture Action","Ação de Captura"
"Card Number","Número do Cartão"
"Card Verification Number","Número de Verificação do Cartão"
"Checkout with PayPal","Finalizar com PayPal"
"Close","Fechar"
"Complete checkout with","Concluir checkout com"
"Complete Order Status","Status do Pedido Concluído"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"CSV","CSV"
"Currency","Moeda"
"CVV","CVV"
"CVV Verification","Verificação de CVV"
"Debug","Depuração"
