"%s. Please try again or attempt refreshing the page.","%s. Veuillez réessayer ou tenter de rafraîchir la page."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Pour utiliser ce module vous aurez besoin d'un compte Braintree de production ou sandbox existant. Vous pouvez postuler sur <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Intégration Braintree v.zero fournie par <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Vous devez d'abord configurer la section <strong>Braintree v.zero - Configuration</strong> avec les informations de votre compte Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Autorisation et capture</strong> - Nous réglerons instantanément la transaction lors du paiement."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Autorisation</strong> - Autorisera uniquement le paiement et stockera un jeton, la transaction ne sera pas réglée.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Paiements futurs</strong> - Nous permet d'enregistrer le compte PayPal du client pour des achats ultérieurs et une utilisation avec le coffre-fort"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Paiement unique</strong> - Demandera uniquement au client de se connecter, nous ne pourrons effectuer qu'un seul paiement<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Avertissement :</strong> N'utilisez pas 'Sandbox' dans un environnement de production.<br />"
"Amount","Montant"
"Are you sure you want to remove this payment method?","Êtes-vous sûr de vouloir supprimer ce moyen de paiement ?"
"Australia","Australie"
"Authorization Expired","Autorisation expirée"
"Authorize","Autoriser"
"Authorize & Capture","Autorisation et capture"
"Authorized","Autorisé"
"Authorizing","Autorisation en cours"
"Braintree Account Details","Informations du compte Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree propose une intégration directe avec Kount, notre partenaire fournissant une technologie avancée de détection des fraudes. Pour utiliser cette fonctionnalité, vous devez traiter au moins 2500 transactions par mois, et des frais supplémentaires vous seront facturés par Kount pour ses services. Pour commencer, contactez accounts@braintreepayments.com. Vous pouvez consulter plus d'informations <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">ici</a>."
"Braintree PHP SDK Version","Version du SDK PHP Braintree"
"Braintree Status","Statut Braintree"
"Braintree Transactions","Transactions Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configuration"
"Braintree v.zero - Credit Card","Braintree v.zero - Carte de crédit"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Acheter maintenant"
"Canada","Canada"
"Cancel","Annuler"
"Capture","Capturer"
"Capture Action","Action de capture"
"Card Number","Numéro de carte"
"Card Verification Number","Numéro de vérification de la carte"
"Checkout with PayPal","Payer avec PayPal"
"Close","Fermer"
"Complete checkout with","Finaliser le paiement avec"
"Complete Order Status","Statut de commande finalisée"
"Credit Card Number","Numéro de carte de crédit"
"Credit Card Types","Types de cartes de crédit"
"CSV","CSV"
"Currency","Devise"
"CVV","CVV"
"CVV Verification","Vérification CVV"
"Debug","Débogage"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Le débogage entraînera l'écriture d'un journal dans le fichier <strong>var/log/gene_braintree.log</strong>. Comme aucune donnée de carte de crédit n'atteint jamais le serveur, ce fichier ne contiendra jamais d'informations client cruciales."
"Display","Affichage"
"Enable 3D Secure","Activer 3D Secure"
"Enabled","Activé"
"Enable Vault","Activer le coffre-fort"
"Enable Vault/Saved Cards","Activer le coffre-fort / cartes enregistrées"
"Environment","Environnement"
"Excel XML","Excel XML"
"Expiration Date","Date d'expiration"
"Expires:","Expire le :"
"Expiry Month","Mois d'expiration"
"Expiry Year","Année d'expiration"
"Failed","Échoué"
"Features","Fonctionnalités"
"France","France"
"Future Payments","Paiements futurs"
"Gateway Rejected","Rejeté par la passerelle"
"Gateway rejected: AVS","Un problème est survenu lors de la validation de votre adresse de facturation."
"Germany","Allemagne"
"Grand total:","Total général :"
"Great Britain & Ireland","Grande-Bretagne et Irlande"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Si vous ne faites qu'autoriser les transactions, vous pouvez définir à quel moment elles doivent être soumises pour règlement."
"Invoice","Facture"
"is invalid.","est invalide."
"Italy","Italie"
"Kount Merchant ID","ID marchand Kount"
"Locale","Langue"
"Magento Braintree v.zero Version","Version Magento Braintree v.zero"
"Magento Order ID","ID de commande Magento"
"Magento Status","Statut Magento"
"Merchant Account ID","ID du compte marchand"
"Merchant ID","ID marchand"
"New Credit Card","Nouvelle carte de crédit"
"New Order Status","Statut de nouvelle commande"
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Paiement depuis les pays applicables"
"Payment from Specific Countries","Paiement depuis des pays spécifiques"
"Payment Information","Informations de paiement"
"Payment Type","Type de paiement"
"Place Order","Passer la commande"
"Please provide a shipping address.","Veuillez fournir une adresse de livraison."
"Please select a shipping method.","Veuillez sélectionner un mode de livraison."
"Private Key","Clé privée"
"Processor Declined","Refusé par le processeur"
"Production","Production"
"Public Key","Clé publique"
"Sadly, we're unable to accept this type of card, please try another.","Malheureusement, nous ne pouvons pas accepter ce type de carte, veuillez en essayer une autre."
"Sandbox","Sandbox"
"Saved Cards","Cartes enregistrées"
"Saved Payment Information","Informations de paiement enregistrées"
"Save this account for future use","Enregistrer ce compte pour une utilisation ultérieure"
"Save this card for future use","Enregistrer cette carte pour une utilisation ultérieure"
"Settled","Réglé"
"Settlement Declined","Règlement refusé"
"Settlement Pending","Règlement en attente"
"Settling","Règlement en cours"
"Shipment","Expédition"
"Shipping method:","Mode de livraison :"
"Should we verify the CVV against the card?","Devons-nous vérifier le CVV par rapport à la carte ?"
"Single Payment","Paiement unique"
"Sorry, we were unable to process your request. Please try again.","Désolé, nous n'avons pas pu traiter votre demande. Veuillez réessayer."
"Sort Order","Ordre de tri"
"Spain","Espagne"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Enregistrer le compte PayPal du client dans le coffre-fort lui permettra d'acheter instantanément n'importe quel produit sans avoir à se reconnecter à PayPal."
"Submitted For Settlement","Soumis pour règlement"
"Testing Settings","Paramètres de test"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","La fonctionnalité 3D Secure permet à l'acheteur de saisir un mot de passe pour confirmer son identité auprès de l'émetteur de la carte. En cas d'acceptation, il finalise alors sa commande, et lorsque vous la recevez, vous avez bien plus de certitude qu'elle est authentique et réelle."
"The following credit cards accounts are currently linked with your account.","Les comptes de cartes de crédit suivants sont actuellement liés à votre compte."
"The following PayPal accounts are currently linked with your account.","Les comptes PayPal suivants sont actuellement liés à votre compte."
"The locale for the PayPal popup window","La langue de la fenêtre pop-up PayPal"
"There are a number of errors present with the credit card form:","Un certain nombre d'erreurs sont présentes dans le formulaire de carte de crédit :"
"There has been an issue processing your PayPal payment, please try again.","Un problème est survenu lors du traitement de votre paiement PayPal, veuillez réessayer."
"There was an issue whilst trying to process your card payment, please try again or another method.","Un problème est survenu lors du traitement de votre paiement par carte, veuillez réessayer ou utiliser une autre méthode."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Le coffre-fort vous permet de stocker en toute sécurité la carte de crédit du client sur les serveurs de Braintree. Nous recevons un jeton qui permet au client d'effectuer de futurs paiements sans avoir à saisir à nouveau ses informations."
"Title","Titre"
"Transaction Date","Date de la transaction"
"Type","Type"
"United States","États-Unis"
"Unrecognized","Non reconnu"
"Valid Credentials","Identifiants valides"
"Voided","Annulé"
"We cannot detect the card type for this card number, please try re-entering your card details.","Nous ne pouvons pas détecter le type de carte pour ce numéro de carte, veuillez essayer de saisir à nouveau les informations de votre carte."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Nous ne pouvons pas faire correspondre ce numéro de carte à l'un de nos moyens de paiement acceptés, veuillez essayer de saisir à nouveau vos informations."
"We require a CVV when creating card transactions.","Nous exigeons un CVV lors de la création de transactions par carte."
"We were unable to complete the request. Please try again.","Nous n'avons pas pu finaliser la demande. Veuillez réessayer."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Nous n'avons pas pu finaliser votre achat via PayPal, veuillez réessayer ou utiliser un autre moyen de paiement."
"We were unable to process the country.","Nous n'avons pas pu traiter le pays."
"We were unable to process the response from PayPal. Please try again.","Nous n'avons pas pu traiter la réponse de PayPal. Veuillez réessayer."
"We were unable to start the express checkout.","Nous n'avons pas pu démarrer le paiement express."
"We\'re currently unable to process this card type, please try another card or payment method.","Nous ne sommes actuellement pas en mesure de traiter ce type de carte, veuillez essayer une autre carte ou un autre moyen de paiement."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Vous pouvez utiliser n'importe lequel des moyens de paiement listés ci-dessous lors d'un achat via notre paiement, et vous pouvez ajouter de nouveaux moyens de paiement pendant le paiement."
"You're ready to accept payments via Braintree","Vous êtes prêt à accepter des paiements via Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Vous n'avez actuellement aucune information de paiement enregistrée, vous pouvez enregistrer un moyen de paiement lors d'un achat."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Vous devez d'abord configurer la section <strong>Braintree v.zero - Configuration</strong> avec les informations de votre compte Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","Votre vérification 3D Secure a échoué, veuillez essayer une autre carte ou un autre moyen de paiement."
"Your API details above will need to reflect your Sandbox or your Production account.","Vos informations d'API ci-dessus devront refléter votre compte Sandbox ou Production."
"Your card payment has failed, please try again.","Votre paiement par carte a échoué, veuillez réessayer."
"Your Order","Votre commande"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Votre paiement a échoué à la vérification 3D Secure, veuillez essayer un autre moyen de paiement."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Votre transaction a été refusée, veuillez essayer un autre moyen de paiement ou contacter votre banque émettrice."
"You will complete your payment via PayPal after the order review step.","Vous finaliserez votre paiement via PayPal après l'étape de vérification de la commande."
