"%s. Please try again or attempt refreshing the page.","%s. Tente novamente ou experimente atualizar a página."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Para utilizar este módulo necessitará de uma conta Braintree de produção ou sandbox já existente. Pode candidatar-se em <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Integração Braintree v.zero fornecida pela <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Deve primeiro configurar a secção <strong>Braintree v.zero - Configuration</strong> com os dados da sua conta Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Autorizar e Capturar</strong> - Liquidaremos a transação instantaneamente durante a finalização da compra."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Autorizar</strong> - Apenas autoriza o pagamento e armazena um token, a transação não será liquidada.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Pagamentos Futuros</strong> - Permite-nos guardar a conta PayPal do cliente para compras posteriores e utilização com o Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Pagamento Único</strong> - Apenas exigirá que o cliente inicie sessão, só poderemos efetuar um único pagamento<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Aviso:</strong> Não utilize 'Sandbox' num ambiente de produção.<br />"
"Amount","Montante"
"Are you sure you want to remove this payment method?","Tem a certeza de que pretende remover este método de pagamento?"
"Australia","Austrália"
"Authorization Expired","Autorização Expirada"
"Authorize","Autorizar"
"Authorize & Capture","Autorizar e Capturar"
"Authorized","Autorizado"
"Authorizing","A autorizar"
"Braintree Account Details","Dados da Conta Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","A Braintree oferece uma integração direta com a Kount, o nosso parceiro para o fornecimento de tecnologia avançada de deteção de fraude. Para utilizar esta funcionalidade, deve processar pelo menos 2500 transações por mês e estará sujeito a taxas adicionais da Kount pelos seus serviços. Para começar, contacte accounts@braintreepayments.com. Pode consultar mais informações <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">aqui</a>."
"Braintree PHP SDK Version","Versão do SDK PHP da Braintree"
"Braintree Status","Estado Braintree"
"Braintree Transactions","Transações Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configuração"
"Braintree v.zero - Credit Card","Braintree v.zero - Cartão de Crédito"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Comprar Agora"
"Canada","Canadá"
"Cancel","Cancelar"
"Capture","Capturar"
"Capture Action","Ação de Captura"
"Card Number","Número do Cartão"
"Card Verification Number","Número de Verificação do Cartão"
"Checkout with PayPal","Finalizar compra com PayPal"
"Close","Fechar"
"Complete checkout with","Finalizar compra com"
"Complete Order Status","Estado de Encomenda Concluída"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"CSV","CSV"
"Currency","Moeda"
"CVV","CVV"
"CVV Verification","Verificação CVV"
"Debug","Depuração"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","A depuração fará com que seja escrito um registo no ficheiro <strong>var/log/gene_braintree.log</strong>. Como nenhum dado de cartão de crédito chega ao servidor, este ficheiro nunca conterá qualquer informação crucial do cliente."
"Display","Apresentação"
"Enable 3D Secure","Ativar 3D Secure"
"Enabled","Ativado"
"Enable Vault","Ativar Vault"
"Enable Vault/Saved Cards","Ativar Vault/Cartões Guardados"
"Environment","Ambiente"
"Excel XML","Excel XML"
"Expiration Date","Data de Validade"
"Expires:","Validade:"
"Expiry Month","Mês de Validade"
"Expiry Year","Ano de Validade"
"Failed","Falhou"
"Features","Funcionalidades"
"France","França"
"Future Payments","Pagamentos Futuros"
"Gateway Rejected","Rejeitado pelo Gateway"
"Gateway rejected: AVS","Ocorreu um problema ao validar a sua morada de faturação."
"Germany","Alemanha"
"Grand total:","Total geral:"
"Great Britain & Ireland","Grã-Bretanha e Irlanda"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Se estiver apenas a autorizar transações, pode definir em que momento devem ser submetidas para liquidação."
"Invoice","Fatura"
"is invalid.","é inválido."
"Italy","Itália"
"Kount Merchant ID","ID de Comerciante Kount"
"Locale","Localização"
"Magento Braintree v.zero Version","Versão Magento Braintree v.zero"
"Magento Order ID","ID de Encomenda Magento"
"Magento Status","Estado Magento"
"Merchant Account ID","ID de Conta de Comerciante"
"Merchant ID","ID de Comerciante"
"New Credit Card","Novo Cartão de Crédito"
"New Order Status","Estado de Nova Encomenda"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento a partir de Países Aplicáveis"
"Payment from Specific Countries","Pagamento a partir de Países Específicos"
"Payment Information","Informação de Pagamento"
"Payment Type","Tipo de Pagamento"
"Place Order","Efetuar Encomenda"
"Please provide a shipping address.","Indique uma morada de envio."
"Please select a shipping method.","Selecione um método de envio."
"Private Key","Chave Privada"
"Processor Declined","Recusado pelo Processador"
"Production","Produção"
"Public Key","Chave Pública"
"Sadly, we're unable to accept this type of card, please try another.","Lamentavelmente, não podemos aceitar este tipo de cartão, experimente outro."
"Sandbox","Sandbox"
"Saved Cards","Cartões Guardados"
"Saved Payment Information","Informação de Pagamento Guardada"
"Save this account for future use","Guardar esta conta para utilização futura"
"Save this card for future use","Guardar este cartão para utilização futura"
"Settled","Liquidado"
"Settlement Declined","Liquidação Recusada"
"Settlement Pending","Liquidação Pendente"
"Settling","A liquidar"
"Shipment","Envio"
"Shipping method:","Método de envio:"
"Should we verify the CVV against the card?","Devemos verificar o CVV em relação ao cartão?"
"Single Payment","Pagamento Único"
"Sorry, we were unable to process your request. Please try again.","Lamentamos, não foi possível processar o seu pedido. Tente novamente."
"Sort Order","Ordem de Apresentação"
"Spain","Espanha"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Guardar o PayPal do cliente no vault permitir-lhe-á comprar instantaneamente qualquer produto sem ter de iniciar sessão no PayPal novamente."
"Submitted For Settlement","Submetido para Liquidação"
"Testing Settings","Definições de Teste"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","A funcionalidade 3D Secure permite ao comprador introduzir uma palavra-passe para confirmar a sua identidade junto do emissor do cartão. Se aceite, conclui então a sua encomenda e, quando a recebe, tem muito mais confiança de que é genuína e real."
"The following credit cards accounts are currently linked with your account.","As seguintes contas de cartão de crédito estão atualmente associadas à sua conta."
"The following PayPal accounts are currently linked with your account.","As seguintes contas PayPal estão atualmente associadas à sua conta."
"The locale for the PayPal popup window","A localização para a janela emergente do PayPal"
"There are a number of errors present with the credit card form:","Existem vários erros no formulário do cartão de crédito:"
"There has been an issue processing your PayPal payment, please try again.","Ocorreu um problema ao processar o seu pagamento PayPal, tente novamente."
"There was an issue whilst trying to process your card payment, please try again or another method.","Ocorreu um problema ao tentar processar o pagamento do seu cartão, tente novamente ou utilize outro método."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","O vault permite-lhe armazenar em segurança o cartão de crédito do cliente nos servidores da Braintree. É-nos fornecido um token que permite ao cliente efetuar pagamentos futuros sem ter de voltar a introduzir quaisquer dados."
"Title","Título"
"Transaction Date","Data da Transação"
"Type","Tipo"
"United States","Estados Unidos"
"Unrecognized","Não Reconhecido"
"Valid Credentials","Credenciais Válidas"
"Voided","Anulado"
"We cannot detect the card type for this card number, please try re-entering your card details.","Não conseguimos detetar o tipo de cartão para este número, tente introduzir novamente os dados do seu cartão."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Não conseguimos corresponder este número de cartão a nenhum dos nossos métodos de pagamento aceites, tente introduzir novamente os seus dados."
"We require a CVV when creating card transactions.","Exigimos um CVV ao criar transações com cartão."
"We were unable to complete the request. Please try again.","Não foi possível concluir o pedido. Tente novamente."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Não foi possível concluir a sua compra através do PayPal, tente novamente ou utilize um método de pagamento alternativo."
"We were unable to process the country.","Não foi possível processar o país."
"We were unable to process the response from PayPal. Please try again.","Não foi possível processar a resposta do PayPal. Tente novamente."
"We were unable to start the express checkout.","Não foi possível iniciar a finalização de compra expresso."
"We\'re currently unable to process this card type, please try another card or payment method.","Não podemos atualmente processar este tipo de cartão, experimente outro cartão ou método de pagamento."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Pode utilizar qualquer um dos métodos de pagamento listados abaixo ao comprar através da nossa finalização de compra, podendo adicionar novos métodos de pagamento durante a mesma."
"You're ready to accept payments via Braintree","Está pronto para aceitar pagamentos através da Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Não tem atualmente qualquer informação de pagamento guardada, pode guardar um método de pagamento ao efetuar uma compra."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Deve primeiro configurar a secção <strong>Braintree v.zero - Configuration</strong> com os dados da sua conta Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","A sua verificação 3D Secure falhou, experimente utilizar outro cartão ou método de pagamento."
"Your API details above will need to reflect your Sandbox or your Production account.","Os dados da API acima deverão refletir a sua conta Sandbox ou de Produção."
"Your card payment has failed, please try again.","O pagamento do seu cartão falhou, tente novamente."
"Your Order","A Sua Encomenda"
"Your payment has failed 3D secure verification, please try an alternate payment method.","O seu pagamento falhou a verificação 3D Secure, experimente um método de pagamento alternativo."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","A sua transação foi recusada, experimente outro método de pagamento ou contacte o seu banco emissor."
"You will complete your payment via PayPal after the order review step.","Concluirá o seu pagamento através do PayPal após a etapa de revisão da encomenda."
