"%s. Please try again or attempt refreshing the page.","%s. Παρακαλούμε δοκιμάστε ξανά ή ανανεώστε τη σελίδα."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Για να χρησιμοποιήσετε αυτό το module θα χρειαστείτε έναν υπάρχοντα λογαριασμό Braintree production ή sandbox. Μπορείτε να υποβάλετε αίτηση στο <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Η ενσωμάτωση Braintree v.zero παρέχεται από την <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Πρέπει πρώτα να ρυθμίσετε την ενότητα <strong>Braintree v.zero - Configuration</strong> με τα στοιχεία του λογαριασμού σας Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - Θα διεκπεραιώσουμε άμεσα τη συναλλαγή κατά την ολοκλήρωση της αγοράς."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Θα εξουσιοδοτήσει μόνο την πληρωμή και θα αποθηκεύσει ένα token, η συναλλαγή δεν θα διεκπεραιωθεί.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Μας επιτρέπει να αποθηκεύσουμε τον λογαριασμό PayPal των πελατών για μελλοντικές αγορές και χρήση με το Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Θα απαιτεί μόνο τη σύνδεση του πελάτη, θα μπορούμε να πραγματοποιήσουμε μόνο μία μεμονωμένη πληρωμή<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Warning:</strong> Μην χρησιμοποιείτε το 'Sandbox' σε περιβάλλον production.<br />"
"Amount","Ποσό"
"Are you sure you want to remove this payment method?","Είστε σίγουροι ότι θέλετε να αφαιρέσετε αυτή τη μέθοδο πληρωμής;"
"Australia","Αυστραλία"
"Authorization Expired","Η εξουσιοδότηση έληξε"
"Authorize","Εξουσιοδότηση"
"Authorize & Capture","Εξουσιοδότηση & Δέσμευση"
"Authorized","Εξουσιοδοτήθηκε"
"Authorizing","Εξουσιοδότηση σε εξέλιξη"
"Braintree Account Details","Στοιχεία λογαριασμού Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Το Braintree προσφέρει άμεση ενσωμάτωση με το Kount, τον συνεργάτη μας για την παροχή προηγμένης τεχνολογίας ανίχνευσης απάτης. Για να χρησιμοποιήσετε αυτή τη λειτουργία, πρέπει να επεξεργάζεστε τουλάχιστον 2500 συναλλαγές το μήνα και θα υπόκεισθε σε πρόσθετες χρεώσεις από το Kount για τις υπηρεσίες του. Για να ξεκινήσετε, επικοινωνήστε στο accounts@braintreepayments.com. Μπορείτε να δείτε περισσότερες πληροφορίες <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">εδώ</a>."
"Braintree PHP SDK Version","Έκδοση Braintree PHP SDK"
"Braintree Status","Κατάσταση Braintree"
"Braintree Transactions","Συναλλαγές Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configuration"
"Braintree v.zero - Credit Card","Braintree v.zero - Πιστωτική κάρτα"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Αγορά τώρα"
"Canada","Καναδάς"
"Cancel","Ακύρωση"
"Capture","Δέσμευση"
"Capture Action","Ενέργεια δέσμευσης"
"Card Number","Αριθμός κάρτας"
"Card Verification Number","Αριθμός επαλήθευσης κάρτας"
"Checkout with PayPal","Ολοκλήρωση αγοράς με PayPal"
"Close","Κλείσιμο"
"Complete checkout with","Ολοκλήρωση αγοράς με"
"Complete Order Status","Κατάσταση ολοκληρωμένης παραγγελίας"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Credit Card Types","Τύποι πιστωτικών καρτών"
"CSV","CSV"
"Currency","Νόμισμα"
"CVV","CVV"
"CVV Verification","Επαλήθευση CVV"
"Debug","Debug"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Το debugging θα προκαλέσει την εγγραφή ενός log στο αρχείο <strong>var/log/gene_braintree.log</strong>. Καθώς κανένα δεδομένο πιστωτικής κάρτας δεν φτάνει ποτέ στον server, αυτό το αρχείο δεν θα περιέχει ποτέ κρίσιμες πληροφορίες πελατών."
"Display","Εμφάνιση"
"Enable 3D Secure","Ενεργοποίηση 3D Secure"
"Enabled","Ενεργοποιημένο"
"Enable Vault","Ενεργοποίηση Vault"
"Enable Vault/Saved Cards","Ενεργοποίηση Vault/Αποθηκευμένων καρτών"
"Environment","Περιβάλλον"
"Excel XML","Excel XML"
"Expiration Date","Ημερομηνία λήξης"
"Expires:","Λήγει:"
"Expiry Month","Μήνας λήξης"
"Expiry Year","Έτος λήξης"
"Failed","Απέτυχε"
"Features","Χαρακτηριστικά"
"France","Γαλλία"
"Future Payments","Μελλοντικές πληρωμές"
"Gateway Rejected","Απορρίφθηκε από την πύλη"
"Gateway rejected: AVS","Παρουσιάστηκε πρόβλημα κατά την επαλήθευση της διεύθυνσης χρέωσής σας."
"Germany","Γερμανία"
"Grand total:","Γενικό σύνολο:"
"Great Britain & Ireland","Μεγάλη Βρετανία & Ιρλανδία"
"Hong Kong","Χονγκ Κονγκ"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Εάν απλώς εξουσιοδοτείτε συναλλαγές, μπορείτε να ορίσετε σε ποιο σημείο θα πρέπει να υποβάλλονται για διεκπεραίωση."
"Invoice","Τιμολόγιο"
"is invalid.","δεν είναι έγκυρο."
"Italy","Ιταλία"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Locale"
"Magento Braintree v.zero Version","Έκδοση Magento Braintree v.zero"
"Magento Order ID","Magento Order ID"
"Magento Status","Κατάσταση Magento"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Νέα πιστωτική κάρτα"
"New Order Status","Κατάσταση νέας παραγγελίας"
"Payment Action","Ενέργεια πληρωμής"
"Payment from Applicable Countries","Πληρωμή από επιλέξιμες χώρες"
"Payment from Specific Countries","Πληρωμή από συγκεκριμένες χώρες"
"Payment Information","Πληροφορίες πληρωμής"
"Payment Type","Τύπος πληρωμής"
"Place Order","Υποβολή παραγγελίας"
"Please provide a shipping address.","Παρακαλούμε δώστε μια διεύθυνση αποστολής."
"Please select a shipping method.","Παρακαλούμε επιλέξτε μια μέθοδο αποστολής."
"Private Key","Private Key"
"Processor Declined","Απορρίφθηκε από τον επεξεργαστή"
"Production","Production"
"Public Key","Public Key"
"Sadly, we're unable to accept this type of card, please try another.","Δυστυχώς, δεν μπορούμε να δεχτούμε αυτόν τον τύπο κάρτας, παρακαλούμε δοκιμάστε μια άλλη."
"Sandbox","Sandbox"
"Saved Cards","Αποθηκευμένες κάρτες"
"Saved Payment Information","Αποθηκευμένες πληροφορίες πληρωμής"
"Save this account for future use","Αποθήκευση αυτού του λογαριασμού για μελλοντική χρήση"
"Save this card for future use","Αποθήκευση αυτής της κάρτας για μελλοντική χρήση"
"Settled","Διεκπεραιώθηκε"
"Settlement Declined","Η διεκπεραίωση απορρίφθηκε"
"Settlement Pending","Διεκπεραίωση σε εκκρεμότητα"
"Settling","Διεκπεραίωση σε εξέλιξη"
"Shipment","Αποστολή"
"Shipping method:","Μέθοδος αποστολής:"
"Should we verify the CVV against the card?","Να επαληθεύουμε το CVV σε σχέση με την κάρτα;"
"Single Payment","Μεμονωμένη πληρωμή"
"Sorry, we were unable to process your request. Please try again.","Λυπούμαστε, δεν μπορέσαμε να επεξεργαστούμε το αίτημά σας. Παρακαλούμε δοκιμάστε ξανά."
"Sort Order","Σειρά ταξινόμησης"
"Spain","Ισπανία"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Η αποθήκευση του PayPal των πελατών στο vault θα τους επιτρέψει να αγοράζουν άμεσα οποιοδήποτε προϊόν χωρίς να χρειάζεται να συνδεθούν ξανά στο PayPal."
"Submitted For Settlement","Υποβλήθηκε για διεκπεραίωση"
"Testing Settings","Ρυθμίσεις δοκιμών"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","Η λειτουργία 3D Secure επιτρέπει στον αγοραστή να εισάγει έναν κωδικό πρόσβασης για να επιβεβαιώσει την ταυτότητά του με τον εκδότη της κάρτας. Εάν γίνει αποδεκτός, ολοκληρώνει την παραγγελία του και, όταν την λάβετε, έχετε πολύ μεγαλύτερη σιγουριά ότι είναι γνήσια και αληθινή."
"The following credit cards accounts are currently linked with your account.","Οι ακόλουθοι λογαριασμοί πιστωτικών καρτών είναι επί του παρόντος συνδεδεμένοι με τον λογαριασμό σας."
"The following PayPal accounts are currently linked with your account.","Οι ακόλουθοι λογαριασμοί PayPal είναι επί του παρόντος συνδεδεμένοι με τον λογαριασμό σας."
"The locale for the PayPal popup window","Το locale για το αναδυόμενο παράθυρο PayPal"
"There are a number of errors present with the credit card form:","Υπάρχουν αρκετά σφάλματα στη φόρμα της πιστωτικής κάρτας:"
"There has been an issue processing your PayPal payment, please try again.","Παρουσιάστηκε πρόβλημα κατά την επεξεργασία της πληρωμής σας μέσω PayPal, παρακαλούμε δοκιμάστε ξανά."
"There was an issue whilst trying to process your card payment, please try again or another method.","Παρουσιάστηκε πρόβλημα κατά την προσπάθεια επεξεργασίας της πληρωμής με την κάρτα σας, παρακαλούμε δοκιμάστε ξανά ή με άλλη μέθοδο."
