"%s. Please try again or attempt refreshing the page.","%s. Försök igen eller prova att ladda om sidan."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />För att använda den här modulen behöver du ett befintligt produktions- eller sandbox-konto hos Braintree. Du kan ansöka på <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero-integrationen tillhandahålls av <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Du måste först konfigurera avsnittet <strong>Braintree v.zero - Configuration</strong> med dina Braintree-kontouppgifter."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - Vi genomför transaktionen direkt i kassan."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Auktoriserar endast betalningen och lagrar en token, transaktionen genomförs inte.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Låter oss spara kundens PayPal-konto för senare köp och användning med valvet"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Kräver endast att kunden loggar in, vi kan då bara ta emot en enda betalning<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Varning:</strong> Använd inte 'Sandbox' i en produktionsmiljö.<br />"
"Amount","Belopp"
"Are you sure you want to remove this payment method?","Är du säker på att du vill ta bort den här betalningsmetoden?"
"Australia","Australien"
"Authorization Expired","Auktorisering utgången"
"Authorize","Auktorisera"
"Authorize & Capture","Auktorisera och dra"
"Authorized","Auktoriserad"
"Authorizing","Auktoriserar"
"Braintree Account Details","Braintree-kontouppgifter"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree erbjuder en direktintegration med Kount, vår partner för avancerad teknik för bedrägeriupptäckt. För att använda den här funktionen måste du behandla minst 2500 transaktioner per månad, och du kommer att debiteras ytterligare avgifter från Kount för deras tjänster. För att komma igång, kontakta accounts@braintreepayments.com. Du kan läsa mer information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">här</a>."
"Braintree PHP SDK Version","Braintree PHP SDK-version"
"Braintree Status","Braintree-status"
"Braintree Transactions","Braintree-transaktioner"
"Braintree v.zero - Configuration","Braintree v.zero - Konfiguration"
"Braintree v.zero - Credit Card","Braintree v.zero - Kreditkort"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Köp nu"
"Canada","Kanada"
"Cancel","Avbryt"
"Capture","Dra"
"Capture Action","Dragningsåtgärd"
"Card Number","Kortnummer"
"Card Verification Number","Kortverifieringsnummer"
"Checkout with PayPal","Betala med PayPal"
"Close","Stäng"
"Complete checkout with","Slutför köpet med"
"Complete Order Status","Orderstatus vid slutförande"
"Credit Card Number","Kreditkortsnummer"
"Credit Card Types","Kreditkortstyper"
"CSV","CSV"
"Currency","Valuta"
"CVV","CVV"
"CVV Verification","CVV-verifiering"
"Debug","Felsökning"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Felsökning gör att en logg skrivs till filen <strong>var/log/gene_braintree.log</strong>. Eftersom ingen kreditkortsdata någonsin når servern kommer den här filen aldrig att innehålla någon känslig kundinformation."
"Display","Visning"
"Enable 3D Secure","Aktivera 3D Secure"
"Enabled","Aktiverad"
"Enable Vault","Aktivera valv"
"Enable Vault/Saved Cards","Aktivera valv/sparade kort"
"Environment","Miljö"
"Excel XML","Excel XML"
"Expiration Date","Utgångsdatum"
"Expires:","Går ut:"
"Expiry Month","Utgångsmånad"
"Expiry Year","Utgångsår"
"Failed","Misslyckades"
"Features","Funktioner"
"France","Frankrike"
"Future Payments","Framtida betalningar"
"Gateway Rejected","Gateway avvisade"
"Gateway rejected: AVS","Det uppstod ett problem när din faktureringsadress skulle valideras."
"Germany","Tyskland"
"Grand total:","Totalsumma:"
"Great Britain & Ireland","Storbritannien och Irland"
"Hong Kong","Hongkong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Om du bara auktoriserar transaktioner kan du ange vid vilken tidpunkt de ska skickas in för avräkning."
"Invoice","Faktura"
"is invalid.","är ogiltig."
"Italy","Italien"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Språk"
"Magento Braintree v.zero Version","Magento Braintree v.zero-version"
"Magento Order ID","Magento Order-ID"
"Magento Status","Magento-status"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Nytt kreditkort"
"New Order Status","Ny orderstatus"
"Payment Action","Betalningsåtgärd"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Payment Information","Betalningsinformation"
"Payment Type","Betalningstyp"
"Place Order","Lägg order"
"Please provide a shipping address.","Ange en leveransadress."
"Please select a shipping method.","Välj en leveransmetod."
"Private Key","Privat nyckel"
"Processor Declined","Processorn nekade"
"Production","Produktion"
"Public Key","Publik nyckel"
"Sadly, we're unable to accept this type of card, please try another.","Tyvärr kan vi inte acceptera den här korttypen, försök med ett annat kort."
"Sandbox","Sandbox"
"Saved Cards","Sparade kort"
"Saved Payment Information","Sparad betalningsinformation"
"Save this account for future use","Spara det här kontot för framtida bruk"
"Save this card for future use","Spara det här kortet för framtida bruk"
"Settled","Avräknad"
"Settlement Declined","Avräkning nekad"
"Settlement Pending","Avräkning väntar"
"Settling","Avräknar"
"Shipment","Leverans"
"Shipping method:","Leveransmetod:"
"Should we verify the CVV against the card?","Ska vi verifiera CVV mot kortet?"
"Single Payment","Enskild betalning"
"Sorry, we were unable to process your request. Please try again.","Tyvärr kunde vi inte behandla din begäran. Försök igen."
"Sort Order","Sorteringsordning"
"Spain","Spanien"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Att lagra kundens PayPal i valvet gör att de direkt kan köpa vilken produkt som helst utan att behöva logga in på PayPal igen."
"Submitted For Settlement","Inskickad för avräkning"
