"%s. Please try again or attempt refreshing the page.","%s. Probeer het opnieuw of ververs de pagina."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Om deze module te gebruiken heeft u een bestaand productie- of sandbox-account bij Braintree nodig. U kunt zich aanmelden op <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero-integratie geleverd door <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />U moet eerst de sectie <strong>Braintree v.zero - Configuration</strong> configureren met uw Braintree-accountgegevens."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - We verrekenen de transactie direct tijdens het afrekenen."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Autoriseert alleen de betaling en slaat een token op, de transactie wordt niet verrekend.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Stelt ons in staat om het PayPal-account van de klant op te slaan voor latere aankopen en gebruik met de Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Vereist alleen dat de klant zich aanmeldt, we kunnen slechts één betaling uitvoeren<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Waarschuwing:</strong> Gebruik 'Sandbox' niet in een productieomgeving.<br />"
"Amount","Bedrag"
"Are you sure you want to remove this payment method?","Weet u zeker dat u deze betaalmethode wilt verwijderen?"
"Australia","Australië"
"Authorization Expired","Autorisatie verlopen"
"Authorize","Autoriseren"
"Authorize & Capture","Autoriseren & Vastleggen"
"Authorized","Geautoriseerd"
"Authorizing","Autoriseren"
"Braintree Account Details","Braintree-accountgegevens"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree biedt een directe integratie met Kount, onze partner voor geavanceerde fraudedetectietechnologie. Om deze functie te gebruiken moet u minstens 2500 transacties per maand verwerken en gelden er aanvullende kosten van Kount voor hun diensten. Neem om te beginnen contact op met accounts@braintreepayments.com. U kunt meer informatie bekijken <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">hier</a>."
"Braintree PHP SDK Version","Braintree PHP SDK-versie"
"Braintree Status","Braintree-status"
"Braintree Transactions","Braintree-transacties"
"Braintree v.zero - Configuration","Braintree v.zero - Configuratie"
"Braintree v.zero - Credit Card","Braintree v.zero - Creditcard"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Nu kopen"
"Canada","Canada"
"Cancel","Annuleren"
"Capture","Vastleggen"
"Capture Action","Vastleggingsactie"
"Card Number","Kaartnummer"
"Card Verification Number","Kaartverificatienummer"
"Checkout with PayPal","Afrekenen met PayPal"
"Close","Sluiten"
"Complete checkout with","Voltooi het afrekenen met"
"Complete Order Status","Voltooide besteltoestand"
"Credit Card Number","Creditcardnummer"
"Credit Card Types","Creditcardtypen"
"CSV","CSV"
"Currency","Valuta"
"CVV","CVV"
"CVV Verification","CVV-verificatie"
"Debug","Debuggen"
