"%s. Please try again or attempt refreshing the page.","%s. Vă rugăm să încercați din nou sau să reîmprospătați pagina."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Pentru a utiliza acest modul veți avea nevoie de un cont Braintree de producție sau sandbox existent. Puteți aplica la <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Integrarea Braintree v.zero furnizată de <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Trebuie mai întâi să configurați secțiunea <strong>Braintree v.zero - Configuration</strong> cu detaliile contului dumneavoastră Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - Vom deconta instantaneu tranzacția în timpul finalizării comenzii."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Va autoriza doar plata și va stoca un token, tranzacția nu va fi decontată.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Ne permite să salvăm contul PayPal al clientului pentru achiziții ulterioare și utilizare cu Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Va necesita doar ca clientul să se autentifice, vom putea încasa o singură plată<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Warning:</strong> Nu utilizați 'Sandbox' într-un mediu de producție.<br />"
"Amount","Sumă"
"Are you sure you want to remove this payment method?","Sigur doriți să eliminați această metodă de plată?"
"Australia","Australia"
"Authorization Expired","Autorizare expirată"
"Authorize","Autorizare"
"Authorize & Capture","Autorizare și capturare"
"Authorized","Autorizat"
"Authorizing","Se autorizează"
"Braintree Account Details","Detalii cont Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree oferă o integrare directă cu Kount, partenerul nostru pentru furnizarea de tehnologie avansată de detectare a fraudelor. Pentru a utiliza această funcție, trebuie să procesați cel puțin 2500 de tranzacții pe lună și veți fi supus unor taxe suplimentare din partea Kount pentru serviciile lor. Pentru a începe, contactați accounts@braintreepayments.com. Puteți vedea mai multe informații <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">aici</a>."
"Braintree PHP SDK Version","Versiune SDK PHP Braintree"
"Braintree Status","Stare Braintree"
"Braintree Transactions","Tranzacții Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configurare"
"Braintree v.zero - Credit Card","Braintree v.zero - Card de credit"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Cumpără acum"
"Canada","Canada"
"Cancel","Anulează"
"Capture","Capturare"
"Capture Action","Acțiune de capturare"
"Card Number","Număr card"
"Card Verification Number","Număr de verificare a cardului"
"Checkout with PayPal","Finalizează comanda cu PayPal"
"Close","Închide"
"Complete checkout with","Finalizează comanda cu"
"Complete Order Status","Stare comandă finalizată"
"Credit Card Number","Număr card de credit"
"Credit Card Types","Tipuri de card de credit"
"CSV","CSV"
"Currency","Monedă"
"CVV","CVV"
"CVV Verification","Verificare CVV"
"Debug","Depanare"
