"%s. Please try again or attempt refreshing the page.","%s. Yritä uudelleen tai päivitä sivu."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Tämän moduulin käyttäminen edellyttää olemassa olevaa Braintree-tuotanto- tai -hiekkalaatikkotiliä. Voit hakea osoitteessa <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero -integraation tarjoaa <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Sinun on ensin määritettävä <strong>Braintree v.zero - Configuration</strong> -osio Braintree-tilisi tiedoilla."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Valtuuta ja veloita</strong> - Suoritamme tapahtuman välittömästi kassalla."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Valtuuta</strong> - Vain valtuuttaa maksun ja tallentaa tunnisteen, tapahtumaa ei suoriteta.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Tulevat maksut</strong> - Mahdollistaa asiakkaan PayPal-tilin tallentamisen myöhempiä ostoja varten ja käytön Vaultin kanssa"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Kertamaksu</strong> - Vaatii asiakasta vain kirjautumaan sisään, voimme veloittaa vain yhden maksun<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Varoitus:</strong> Älä käytä 'Sandbox'-tilaa tuotantoympäristössä.<br />"
"Amount","Summa"
"Are you sure you want to remove this payment method?","Haluatko varmasti poistaa tämän maksutavan?"
"Australia","Australia"
"Authorization Expired","Valtuutus vanhentunut"
"Authorize","Valtuuta"
"Authorize & Capture","Valtuuta ja veloita"
"Authorized","Valtuutettu"
"Authorizing","Valtuutetaan"
"Braintree Account Details","Braintree-tilin tiedot"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree tarjoaa suoran integraation Kountin kanssa, joka on kumppanimme edistyneen petostentunnistusteknologian tarjoamisessa. Tämän ominaisuuden käyttäminen edellyttää vähintään 2500 tapahtuman käsittelyä kuukaudessa, ja Kount veloittaa palveluistaan lisämaksuja. Aloita ottamalla yhteyttä osoitteeseen accounts@braintreepayments.com. Voit katsoa lisätietoja <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">täältä</a>."
"Braintree PHP SDK Version","Braintree PHP SDK -versio"
"Braintree Status","Braintree-tila"
"Braintree Transactions","Braintree-tapahtumat"
"Braintree v.zero - Configuration","Braintree v.zero - Määritykset"
"Braintree v.zero - Credit Card","Braintree v.zero - Luottokortti"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Osta nyt"
"Canada","Kanada"
"Cancel","Peruuta"
"Capture","Veloita"
"Capture Action","Veloitustoiminto"
"Card Number","Kortin numero"
"Card Verification Number","Kortin varmennusnumero"
"Checkout with PayPal","Maksa PayPalilla"
"Close","Sulje"
"Complete checkout with","Suorita kassa loppuun palvelulla"
"Complete Order Status","Valmiin tilauksen tila"
"Credit Card Number","Luottokortin numero"
"Credit Card Types","Luottokorttityypit"
"CSV","CSV"
"Currency","Valuutta"
"CVV","CVV"
"CVV Verification","CVV-varmennus"
"Debug","Vianetsintä"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Vianetsintä kirjoittaa lokin <strong>var/log/gene_braintree.log</strong> -tiedostoon. Koska luottokorttitiedot eivät koskaan päädy palvelimelle, tämä tiedosto ei koskaan sisällä mitään olennaisia asiakastietoja."
"Display","Näyttö"
"Enable 3D Secure","Ota 3D Secure käyttöön"
"Enabled","Käytössä"
"Enable Vault","Ota Vault käyttöön"
"Enable Vault/Saved Cards","Ota käyttöön Vault/Tallennetut kortit"
"Environment","Ympäristö"
"Excel XML","Excel XML"
"Expiration Date","Voimassaolon päättymispäivä"
"Expires:","Vanhenee:"
"Expiry Month","Vanhenemiskuukausi"
"Expiry Year","Vanhenemisvuosi"
"Failed","Epäonnistui"
"Features","Ominaisuudet"
"France","Ranska"
"Future Payments","Tulevat maksut"
"Gateway Rejected","Yhdyskäytävä hylkäsi"
"Gateway rejected: AVS","Laskutusosoitteesi vahvistamisessa on ilmennyt ongelma."
"Germany","Saksa"
"Grand total:","Loppusumma:"
"Great Britain & Ireland","Iso-Britannia ja Irlanti"
"Hong Kong","Hongkong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Jos vain valtuutat tapahtumia, voit määrittää, missä vaiheessa ne tulisi lähettää suoritettaviksi."
"Invoice","Lasku"
"is invalid.","on virheellinen."
"Italy","Italia"
"Kount Merchant ID","Kount-kauppiastunnus"
"Locale","Kieliasetus"
"Magento Braintree v.zero Version","Magento Braintree v.zero -versio"
"Magento Order ID","Magento-tilaustunnus"
"Magento Status","Magento-tila"
"Merchant Account ID","Kauppiastilin tunnus"
"Merchant ID","Kauppiastunnus"
"New Credit Card","Uusi luottokortti"
"New Order Status","Uuden tilauksen tila"
"Payment Action","Maksutoiminto"
"Payment from Applicable Countries","Maksu soveltuvista maista"
"Payment from Specific Countries","Maksu tietyistä maista"
"Payment Information","Maksutiedot"
"Payment Type","Maksutyyppi"
"Place Order","Vahvista tilaus"
"Please provide a shipping address.","Anna toimitusosoite."
"Please select a shipping method.","Valitse toimitustapa."
"Private Key","Yksityinen avain"
"Processor Declined","Käsittelijä hylkäsi"
"Production","Tuotanto"
"Public Key","Julkinen avain"
"Sadly, we're unable to accept this type of card, please try another.","Valitettavasti emme voi hyväksyä tämäntyyppistä korttia, kokeile toista."
"Sandbox","Hiekkalaatikko"
"Saved Cards","Tallennetut kortit"
"Saved Payment Information","Tallennetut maksutiedot"
"Save this account for future use","Tallenna tämä tili myöhempää käyttöä varten"
"Save this card for future use","Tallenna tämä kortti myöhempää käyttöä varten"
"Settled","Suoritettu"
"Settlement Declined","Suoritus hylätty"
"Settlement Pending","Suoritus odottaa"
"Settling","Suoritetaan"
"Shipment","Toimitus"
"Shipping method:","Toimitustapa:"
"Should we verify the CVV against the card?","Tuleeko meidän varmentaa CVV korttia vasten?"
"Single Payment","Kertamaksu"
"Sorry, we were unable to process your request. Please try again.","Valitettavasti pyyntöäsi ei voitu käsitellä. Yritä uudelleen."
"Sort Order","Järjestys"
"Spain","Espanja"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Asiakkaan PayPalin tallentaminen Vaultiin mahdollistaa minkä tahansa tuotteen välittömän ostamisen ilman uudelleenkirjautumista PayPaliin."
"Submitted For Settlement","Lähetetty suoritettavaksi"
"Testing Settings","Testausasetukset"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","3D Secure -ominaisuus antaa ostajalle mahdollisuuden syöttää salasanan henkilöllisyytensä vahvistamiseksi kortin myöntäjälle. Jos se hyväksytään, ostaja suorittaa tilauksensa loppuun, ja kun vastaanotat sen, voit olla paljon varmempi, että se on aito ja todellinen."
"The following credit cards accounts are currently linked with your account.","Seuraavat luottokorttitilit on tällä hetkellä liitetty tiliisi."
"The following PayPal accounts are currently linked with your account.","Seuraavat PayPal-tilit on tällä hetkellä liitetty tiliisi."
"The locale for the PayPal popup window","PayPal-ponnahdusikkunan kieliasetus"
"There are a number of errors present with the credit card form:","Luottokorttilomakkeessa on useita virheitä:"
"There has been an issue processing your PayPal payment, please try again.","PayPal-maksusi käsittelyssä on ilmennyt ongelma, yritä uudelleen."
"There was an issue whilst trying to process your card payment, please try again or another method.","Korttimaksusi käsittelyssä ilmeni ongelma, yritä uudelleen tai käytä toista maksutapaa."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Vault mahdollistaa asiakkaan luottokortin turvallisen tallentamisen Braintreen palvelimille. Saamme tunnisteen, jonka avulla asiakas voi tehdä tulevia maksuja ilman tietojen uudelleensyöttöä."
"Title","Otsikko"
"Transaction Date","Tapahtumapäivä"
"Type","Tyyppi"
"United States","Yhdysvallat"
"Unrecognized","Tunnistamaton"
"Valid Credentials","Kelvolliset tunnukset"
"Voided","Mitätöity"
"We cannot detect the card type for this card number, please try re-entering your card details.","Emme voi tunnistaa tämän kortin numeron korttityyppiä, yritä syöttää korttitietosi uudelleen."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Emme voi yhdistää tätä kortin numeroa mihinkään hyväksymäämme maksutapaan, yritä syöttää tietosi uudelleen."
"We require a CVV when creating card transactions.","Vaadimme CVV-koodin korttitapahtumia luotaessa."
"We were unable to complete the request. Please try again.","Pyyntöä ei voitu suorittaa loppuun. Yritä uudelleen."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Ostoasi ei voitu suorittaa loppuun PayPalin kautta, yritä uudelleen tai käytä vaihtoehtoista maksutapaa."
"We were unable to process the country.","Maata ei voitu käsitellä."
"We were unable to process the response from PayPal. Please try again.","PayPalin vastausta ei voitu käsitellä. Yritä uudelleen."
"We were unable to start the express checkout.","Pikakassaa ei voitu käynnistää."
"We\'re currently unable to process this card type, please try another card or payment method.","Emme voi tällä hetkellä käsitellä tätä korttityyppiä, kokeile toista korttia tai maksutapaa."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Voit käyttää mitä tahansa alla luetelluista maksutavoista ostaessasi kassamme kautta, ja voit lisätä uusia maksutapoja kassalla."
"You're ready to accept payments via Braintree","Olet valmis vastaanottamaan maksuja Braintreen kautta"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Sinulla ei ole tällä hetkellä tallennettuja maksutietoja, voit tallentaa maksutavan oston yhteydessä."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Sinun on ensin määritettävä <strong>Braintree v.zero - Configuration</strong> -osio Braintree-tilisi tiedoilla."
"Your 3D secure verification has failed, please try using another card, or payment method.","3D Secure -varmennuksesi epäonnistui, kokeile toista korttia tai maksutapaa."
"Your API details above will need to reflect your Sandbox or your Production account.","Yllä olevien API-tietojesi on vastattava Sandbox- tai Production-tiliäsi."
"Your card payment has failed, please try again.","Korttimaksusi epäonnistui, yritä uudelleen."
"Your Order","Tilauksesi"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Maksusi epäonnistui 3D Secure -varmennuksessa, kokeile vaihtoehtoista maksutapaa."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","Tapahtumasi on hylätty, kokeile toista maksutapaa tai ota yhteyttä korttisi myöntäneeseen pankkiin."
"You will complete your payment via PayPal after the order review step.","Suoritat maksusi PayPalin kautta tilauksen tarkistusvaiheen jälkeen."
