"%s. Please try again or attempt refreshing the page.","%s. Spróbuj ponownie lub odśwież stronę."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Aby korzystać z tego modułu potrzebujesz istniejącego produkcyjnego lub testowego konta Braintree. Możesz je założyć na <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Integracja Braintree v.zero dostarczona przez <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Musisz najpierw skonfigurować sekcję <strong>Braintree v.zero - Configuration</strong> podając dane swojego konta Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - Natychmiast rozliczymy transakcję podczas realizacji zamówienia."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Tylko autoryzuje płatność i zapisze token, transakcja nie zostanie rozliczona.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Pozwala nam zapisać konto PayPal klienta do późniejszych zakupów i użycia z Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Wymaga jedynie zalogowania się klienta, będziemy mogli pobrać tylko jedną płatność<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Uwaga:</strong> Nie używaj trybu 'Sandbox' w środowisku produkcyjnym.<br />"
"Amount","Kwota"
"Are you sure you want to remove this payment method?","Czy na pewno chcesz usunąć tę metodę płatności?"
"Australia","Australia"
"Authorization Expired","Autoryzacja wygasła"
"Authorize","Autoryzuj"
"Authorize & Capture","Autoryzuj i pobierz"
"Authorized","Autoryzowano"
"Authorizing","Autoryzowanie"
"Braintree Account Details","Dane konta Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree oferuje bezpośrednią integrację z Kount, naszym partnerem dostarczającym zaawansowaną technologię wykrywania oszustw. Aby korzystać z tej funkcji, musisz przetwarzać co najmniej 2500 transakcji miesięcznie i będziesz podlegać dodatkowym opłatom od Kount za ich usługi. Aby rozpocząć, skontaktuj się z accounts@braintreepayments.com. Więcej informacji znajdziesz <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">tutaj</a>."
"Braintree PHP SDK Version","Wersja Braintree PHP SDK"
"Braintree Status","Status Braintree"
"Braintree Transactions","Transakcje Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Konfiguracja"
"Braintree v.zero - Credit Card","Braintree v.zero - Karta kredytowa"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Kup teraz"
"Canada","Kanada"
"Cancel","Anuluj"
"Capture","Pobierz"
"Capture Action","Akcja pobrania"
"Card Number","Numer karty"
"Card Verification Number","Numer weryfikacyjny karty"
"Checkout with PayPal","Zapłać przez PayPal"
"Close","Zamknij"
"Complete checkout with","Dokończ zamówienie za pomocą"
"Complete Order Status","Status ukończonego zamówienia"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Types","Rodzaje kart kredytowych"
"CSV","CSV"
"Currency","Waluta"
"CVV","CVV"
"CVV Verification","Weryfikacja CVV"
"Debug","Debugowanie"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Debugowanie spowoduje zapisywanie logu do pliku <strong>var/log/gene_braintree.log</strong>. Ponieważ żadne dane karty kredytowej nigdy nie trafiają na serwer, plik ten nigdy nie będzie zawierał żadnych kluczowych informacji o kliencie."
"Display","Wyświetlanie"
"Enable 3D Secure","Włącz 3D Secure"
"Enabled","Włączone"
"Enable Vault","Włącz Vault"
"Enable Vault/Saved Cards","Włącz Vault/Zapisane karty"
"Environment","Środowisko"
"Excel XML","Excel XML"
"Expiration Date","Data ważności"
"Expires:","Wygasa:"
"Expiry Month","Miesiąc ważności"
"Expiry Year","Rok ważności"
"Failed","Nieudane"
"Features","Funkcje"
"France","Francja"
"Future Payments","Przyszłe płatności"
"Gateway Rejected","Odrzucone przez bramkę"
"Gateway rejected: AVS","Wystąpił problem podczas weryfikacji Twojego adresu rozliczeniowego."
"Germany","Niemcy"
"Grand total:","Suma całkowita:"
