"%s. Please try again or attempt refreshing the page.","%s. Bitte versuchen Sie es erneut oder aktualisieren Sie die Seite."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Um dieses Modul zu verwenden benötigen Sie ein bestehendes Braintree-Produktiv- oder Sandbox-Konto. Sie können sich unter <a href="https://www.braintreepayments.com">braintreepayments.com</a> anmelden.<br />Braintree v.zero Integration bereitgestellt von <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Sie müssen zunächst den Bereich <strong>Braintree v.zero - Configuration</strong> mit Ihren Braintree-Kontodaten konfigurieren."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Autorisieren & Einziehen</strong> - Wir buchen die Transaktion sofort im Checkout ab."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Autorisieren</strong> - Autorisiert nur die Zahlung und speichert ein Token, die Transaktion wird nicht abgebucht.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Zukünftige Zahlungen</strong> - Ermöglicht es uns, das PayPal-Konto des Kunden für spätere Käufe und zur Verwendung mit dem Vault zu speichern"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Einmalzahlung</strong> - Erfordert lediglich, dass sich der Kunde anmeldet, wir können nur eine einmalige Zahlung entgegennehmen<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Warnung:</strong> Verwenden Sie 'Sandbox' nicht in einer Produktivumgebung.<br />"
"Amount","Betrag"
"Are you sure you want to remove this payment method?","Sind Sie sicher, dass Sie diese Zahlungsmethode entfernen möchten?"
"Australia","Australien"
"Authorization Expired","Autorisierung abgelaufen"
"Authorize","Autorisieren"
"Authorize & Capture","Autorisieren & Einziehen"
"Authorized","Autorisiert"
"Authorizing","Wird autorisiert"
"Braintree Account Details","Braintree-Kontodaten"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree bietet eine direkte Integration mit Kount, unserem Partner für fortschrittliche Technologie zur Betrugserkennung. Um diese Funktion zu nutzen, müssen Sie mindestens 2500 Transaktionen pro Monat abwickeln und es fallen zusätzliche Gebühren von Kount für deren Dienste an. Um zu beginnen, kontaktieren Sie accounts@braintreepayments.com. Weitere Informationen finden Sie <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">hier</a>."
"Braintree PHP SDK Version","Braintree PHP SDK-Version"
"Braintree Status","Braintree-Status"
"Braintree Transactions","Braintree-Transaktionen"
"Braintree v.zero - Configuration","Braintree v.zero - Konfiguration"
"Braintree v.zero - Credit Card","Braintree v.zero - Kreditkarte"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Jetzt kaufen"
"Canada","Kanada"
"Cancel","Abbrechen"
"Capture","Einziehen"
"Capture Action","Einzugsaktion"
"Card Number","Kartennummer"
"Card Verification Number","Kartenprüfnummer"
"Checkout with PayPal","Mit PayPal bezahlen"
"Close","Schließen"
"Complete checkout with","Bezahlvorgang abschließen mit"
"Complete Order Status","Bestellstatus abgeschlossen"
"Credit Card Number","Kreditkartennummer"
"Credit Card Types","Kreditkartentypen"
"CSV","CSV"
"Currency","Währung"
"CVV","CVV"
"CVV Verification","CVV-Prüfung"
"Debug","Debug"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Beim Debugging wird ein Protokoll in die Datei <strong>var/log/gene_braintree.log</strong> geschrieben. Da niemals Kreditkartendaten den Server erreichen, enthält diese Datei niemals wichtige Kundeninformationen."
"Display","Anzeige"
"Enable 3D Secure","3D Secure aktivieren"
"Enabled","Aktiviert"
"Enable Vault","Vault aktivieren"
"Enable Vault/Saved Cards","Vault/Gespeicherte Karten aktivieren"
"Environment","Umgebung"
"Excel XML","Excel XML"
"Expiration Date","Ablaufdatum"
"Expires:","Läuft ab:"
"Expiry Month","Ablaufmonat"
"Expiry Year","Ablaufjahr"
"Failed","Fehlgeschlagen"
"Features","Funktionen"
"France","Frankreich"
"Future Payments","Zukünftige Zahlungen"
"Gateway Rejected","Vom Gateway abgelehnt"
"Gateway rejected: AVS","Bei der Überprüfung Ihrer Rechnungsadresse ist ein Problem aufgetreten."
"Germany","Deutschland"
"Grand total:","Gesamtsumme:"
"Great Britain & Ireland","Großbritannien & Irland"
"Hong Kong","Hongkong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Wenn Sie Transaktionen nur autorisieren, können Sie festlegen, zu welchem Zeitpunkt sie zur Abbuchung eingereicht werden sollen."
"Invoice","Rechnung"
"is invalid.","ist ungültig."
"Italy","Italien"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Gebietsschema"
"Magento Braintree v.zero Version","Magento Braintree v.zero Version"
"Magento Order ID","Magento Order ID"
"Magento Status","Magento-Status"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Neue Kreditkarte"
"New Order Status","Neuer Bestellstatus"
"Payment Action","Zahlungsaktion"
"Payment from Applicable Countries","Zahlung aus zutreffenden Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment Information","Zahlungsinformationen"
"Payment Type","Zahlungsart"
"Place Order","Bestellung aufgeben"
"Please provide a shipping address.","Bitte geben Sie eine Lieferadresse an."
"Please select a shipping method.","Bitte wählen Sie eine Versandart."
"Private Key","Privater Schlüssel"
"Processor Declined","Vom Zahlungsdienstleister abgelehnt"
"Production","Produktion"
"Public Key","Öffentlicher Schlüssel"
"Sadly, we're unable to accept this type of card, please try another.","Leider können wir diesen Kartentyp nicht akzeptieren, bitte versuchen Sie eine andere Karte."
"Sandbox","Sandbox"
"Saved Cards","Gespeicherte Karten"
"Saved Payment Information","Gespeicherte Zahlungsinformationen"
"Save this account for future use","Dieses Konto für zukünftige Verwendung speichern"
"Save this card for future use","Diese Karte für zukünftige Verwendung speichern"
"Settled","Abgebucht"
"Settlement Declined","Abbuchung abgelehnt"
"Settlement Pending","Abbuchung ausstehend"
"Settling","Wird abgebucht"
"Shipment","Sendung"
"Shipping method:","Versandart:"
