"%s. Please try again or attempt refreshing the page.","%s. Riprova o prova ad aggiornare la pagina."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Per utilizzare questo modulo avrai bisogno di un account Braintree di produzione o sandbox esistente. Puoi registrarti su <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Integrazione Braintree v.zero fornita da <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Devi prima configurare la sezione <strong>Braintree v.zero - Configuration</strong> con i dettagli del tuo account Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Authorize & Capture</strong> - Regoleremo istantaneamente la transazione durante il checkout."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Authorize</strong> - Autorizzerà solo il pagamento e memorizzerà un token, la transazione non verrà regolata.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Future Payments</strong> - Ci consente di salvare l'account PayPal dei clienti per acquisti futuri e per l'utilizzo con il Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Single Payment</strong> - Richiederà solo l'accesso da parte del cliente, potremo effettuare un solo pagamento<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Attenzione:</strong> Non utilizzare 'Sandbox' in un ambiente di produzione.<br />"
"Amount","Importo"
"Are you sure you want to remove this payment method?","Sei sicuro di voler rimuovere questo metodo di pagamento?"
"Australia","Australia"
"Authorization Expired","Autorizzazione scaduta"
"Authorize","Autorizza"
"Authorize & Capture","Autorizza e cattura"
"Authorized","Autorizzato"
"Authorizing","Autorizzazione in corso"
"Braintree Account Details","Dettagli account Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree offre un'integrazione diretta con Kount, il nostro partner per la fornitura di tecnologia avanzata di rilevamento delle frodi. Per utilizzare questa funzione, devi elaborare almeno 2500 transazioni al mese e sarai soggetto a costi aggiuntivi da parte di Kount per i loro servizi. Per iniziare, contatta accounts@braintreepayments.com. Puoi visualizzare maggiori informazioni <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">qui</a>."
"Braintree PHP SDK Version","Versione SDK PHP Braintree"
"Braintree Status","Stato Braintree"
"Braintree Transactions","Transazioni Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configuration"
"Braintree v.zero - Credit Card","Braintree v.zero - Carta di credito"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Acquista ora"
"Canada","Canada"
"Cancel","Annulla"
"Capture","Cattura"
"Capture Action","Azione di cattura"
"Card Number","Numero della carta"
"Card Verification Number","Numero di verifica della carta"
"Checkout with PayPal","Checkout con PayPal"
"Close","Chiudi"
"Complete checkout with","Completa il checkout con"
"Complete Order Status","Stato ordine completato"
"Credit Card Number","Numero di carta di credito"
"Credit Card Types","Tipi di carta di credito"
"CSV","CSV"
"Currency","Valuta"
"CVV","CVV"
"CVV Verification","Verifica CVV"
"Debug","Debug"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","Il debug causerà la scrittura di un log nel file <strong>var/log/gene_braintree.log</strong>. Poiché nessun dato della carta di credito raggiunge mai il server, questo file non conterrà mai informazioni cruciali del cliente."
"Display","Visualizzazione"
"Enable 3D Secure","Abilita 3D Secure"
"Enabled","Abilitato"
"Enable Vault","Abilita Vault"
"Enable Vault/Saved Cards","Abilita Vault/Carte salvate"
"Environment","Ambiente"
"Excel XML","Excel XML"
"Expiration Date","Data di scadenza"
"Expires:","Scadenza:"
"Expiry Month","Mese di scadenza"
"Expiry Year","Anno di scadenza"
"Failed","Fallito"
"Features","Funzionalità"
"France","Francia"
"Future Payments","Pagamenti futuri"
"Gateway Rejected","Rifiutato dal gateway"
"Gateway rejected: AVS","Si è verificato un problema durante la convalida del tuo indirizzo di fatturazione."
"Germany","Germania"
"Grand total:","Totale complessivo:"
"Great Britain & Ireland","Gran Bretagna e Irlanda"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Se stai solo autorizzando le transazioni, puoi definire in quale momento devono essere inviate per la regolazione."
"Invoice","Fattura"
"is invalid.","non è valido."
"Italy","Italia"
"Kount Merchant ID","Kount Merchant ID"
"Locale","Localizzazione"
"Magento Braintree v.zero Version","Versione Magento Braintree v.zero"
"Magento Order ID","ID ordine Magento"
"Magento Status","Stato Magento"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"New Credit Card","Nuova carta di credito"
"New Order Status","Stato nuovo ordine"
"Payment Action","Azione di pagamento"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment from Specific Countries","Pagamento da paesi specifici"
"Payment Information","Informazioni di pagamento"
"Payment Type","Tipo di pagamento"
"Place Order","Effettua ordine"
"Please provide a shipping address.","Fornisci un indirizzo di spedizione."
"Please select a shipping method.","Seleziona un metodo di spedizione."
"Private Key","Chiave privata"
"Processor Declined","Rifiutato dal processore"
"Production","Produzione"
"Public Key","Chiave pubblica"
"Sadly, we're unable to accept this type of card, please try another.","Purtroppo non siamo in grado di accettare questo tipo di carta, provane un'altra."
"Sandbox","Sandbox"
"Saved Cards","Carte salvate"
"Saved Payment Information","Informazioni di pagamento salvate"
"Save this account for future use","Salva questo account per uso futuro"
"Save this card for future use","Salva questa carta per uso futuro"
"Settled","Regolato"
"Settlement Declined","Regolamento rifiutato"
"Settlement Pending","Regolamento in sospeso"
"Settling","Regolamento in corso"
"Shipment","Spedizione"
"Shipping method:","Metodo di spedizione:"
"Should we verify the CVV against the card?","Dobbiamo verificare il CVV rispetto alla carta?"
"Single Payment","Pagamento singolo"
"Sorry, we were unable to process your request. Please try again.","Spiacenti, non siamo riusciti a elaborare la tua richiesta. Riprova."
"Sort Order","Ordinamento"
"Spain","Spagna"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","La memorizzazione del PayPal dei clienti nel vault consentirà loro di acquistare istantaneamente qualsiasi prodotto senza dover effettuare nuovamente l'accesso a PayPal."
"Submitted For Settlement","Inviato per la regolazione"
"Testing Settings","Impostazioni di test"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","La funzione 3D Secure consente all'acquirente di inserire una password per confermare la propria identità con l'emittente della carta. Se accettata, completa l'ordine e, quando lo ricevi, hai molta più certezza che sia autentico e reale."
"The following credit cards accounts are currently linked with your account.","I seguenti account di carte di credito sono attualmente collegati al tuo account."
"The following PayPal accounts are currently linked with your account.","I seguenti account PayPal sono attualmente collegati al tuo account."
"The locale for the PayPal popup window","La localizzazione per la finestra popup di PayPal"
"There are a number of errors present with the credit card form:","Sono presenti alcuni errori nel modulo della carta di credito:"
"There has been an issue processing your PayPal payment, please try again.","Si è verificato un problema durante l'elaborazione del tuo pagamento PayPal, riprova."
"There was an issue whilst trying to process your card payment, please try again or another method.","Si è verificato un problema durante il tentativo di elaborare il pagamento con la tua carta, riprova o utilizza un altro metodo."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","Il vault ti consente di memorizzare in modo sicuro la carta di credito dei clienti sui server di Braintree. Ci viene fornito un token che consente al cliente di effettuare pagamenti futuri senza dover inserire nuovamente i dati."
"Title","Titolo"
"Transaction Date","Data della transazione"
"Type","Tipo"
"United States","Stati Uniti"
"Unrecognized","Non riconosciuto"
"Valid Credentials","Credenziali valide"
"Voided","Annullato"
"We cannot detect the card type for this card number, please try re-entering your card details.","Non riusciamo a rilevare il tipo di carta per questo numero di carta, prova a reinserire i dati della tua carta."
"We cannot match this card number to any of our accepted payment methods, please try re-entering your details.","Non riusciamo ad associare questo numero di carta a nessuno dei nostri metodi di pagamento accettati, prova a reinserire i tuoi dati."
"We require a CVV when creating card transactions.","Richiediamo un CVV durante la creazione di transazioni con carta."
"We were unable to complete the request. Please try again.","Non siamo riusciti a completare la richiesta. Riprova."
"We were unable to complete your purchase through PayPal, please try again or an alternative payment method.","Non siamo riusciti a completare il tuo acquisto tramite PayPal, riprova o utilizza un metodo di pagamento alternativo."
"We were unable to process the country.","Non siamo riusciti a elaborare il paese."
"We were unable to process the response from PayPal. Please try again.","Non siamo riusciti a elaborare la risposta da PayPal. Riprova."
"We were unable to start the express checkout.","Non siamo riusciti ad avviare il checkout express."
"We\'re currently unable to process this card type, please try another card or payment method.","Al momento non siamo in grado di elaborare questo tipo di carta, prova un'altra carta o un altro metodo di pagamento."
"You're able to use any of the listed payment methods below when purchasing through our checkout, you're able to add new payment methods within the checkout.","Puoi utilizzare uno qualsiasi dei metodi di pagamento elencati di seguito quando acquisti tramite il nostro checkout, puoi aggiungere nuovi metodi di pagamento all'interno del checkout."
"You're ready to accept payments via Braintree","Sei pronto ad accettare pagamenti tramite Braintree"
"You currently have no saved payment information, you can save a payment method when making a purchase.","Al momento non hai informazioni di pagamento salvate, puoi salvare un metodo di pagamento durante un acquisto."
"You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","Devi prima configurare la sezione <strong>Braintree v.zero - Configuration</strong> con i dettagli del tuo account Braintree."
"Your 3D secure verification has failed, please try using another card, or payment method.","La tua verifica 3D secure non è riuscita, prova a utilizzare un'altra carta o un altro metodo di pagamento."
"Your API details above will need to reflect your Sandbox or your Production account.","I dettagli API sopra dovranno riflettere il tuo account Sandbox o di Produzione."
"Your card payment has failed, please try again.","Il pagamento con la tua carta non è riuscito, riprova."
"Your Order","Il tuo ordine"
"Your payment has failed 3D secure verification, please try an alternate payment method.","Il tuo pagamento non ha superato la verifica 3D secure, prova un metodo di pagamento alternativo."
"Your transaction has been declined, please try another payment method or contacting your issuing bank.","La tua transazione è stata rifiutata, prova un altro metodo di pagamento o contatta la tua banca emittente."
"You will complete your payment via PayPal after the order review step.","Completerai il tuo pagamento tramite PayPal dopo la fase di revisione dell'ordine."
