"%s. Please try again or attempt refreshing the page.","%s. Vuelva a intentarlo o pruebe a actualizar la página."
"4px 0 8px 0;" border="0"/><br />To use this module you will need an existing production or sandbox Braintree account. You can apply at <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Braintree v.zero integration provided by <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>.","4px 0 8px 0;" border="0"/><br />Para usar este módulo necesitará una cuenta de Braintree de producción o sandbox ya existente. Puede solicitarla en <a href="https://www.braintreepayments.com">braintreepayments.com</a>.<br />Integración de Braintree v.zero proporcionada por <a href="http://gene.co.uk/" target="_blank">Gene Commerce</a>."
"6px 0;" /><br />You must first configure the <strong>Braintree v.zero - Configuration</strong> section with your Braintree account details.","6px 0;" /><br />Primero debe configurar la sección <strong>Braintree v.zero - Configuration</strong> con los datos de su cuenta de Braintree."
"<strong>Authorize & Capture</strong> - We will instantly settle the transaction within the checkout.","<strong>Autorizar y capturar</strong> - Liquidaremos la transacción de forma inmediata durante el proceso de pago."
"<strong>Authorize</strong> - Will only auth the payment and store a token, the transaction will not be settled.<br />","<strong>Autorizar</strong> - Solo autorizará el pago y almacenará un token, la transacción no se liquidará.<br />"
"<strong>Future Payments</strong> - Allows us to save the customers PayPal account for later purchases and use with the Vault","<strong>Pagos futuros</strong> - Nos permite guardar la cuenta de PayPal del cliente para compras posteriores y usarla con el Vault"
"<strong>Single Payment</strong> - Will only require the customer to sign in, we will only be able to take a single payment<br />","<strong>Pago único</strong> - Solo requerirá que el cliente inicie sesión, únicamente podremos cobrar un solo pago<br />"
"<strong>Warning:</strong> Do not use 'Sandbox' on a production environment.<br />","<strong>Advertencia:</strong> No use 'Sandbox' en un entorno de producción.<br />"
"Amount","Importe"
"Are you sure you want to remove this payment method?","¿Está seguro de que desea eliminar este método de pago?"
"Australia","Australia"
"Authorization Expired","Autorización caducada"
"Authorize","Autorizar"
"Authorize & Capture","Autorizar y capturar"
"Authorized","Autorizado"
"Authorizing","Autorizando"
"Braintree Account Details","Datos de la cuenta de Braintree"
"Braintree offers a direct integration with Kount, our partner for providing advanced fraud detection technology. To use this feature, you must be processing at least 2500 transactions per month, and you’ll be subject to additional fees from Kount for their services. To get started, contact accounts@braintreepayments.com. You can view more information <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">here</a>.","Braintree ofrece una integración directa con Kount, nuestro socio para proporcionar tecnología avanzada de detección de fraude. Para usar esta función, debe procesar al menos 2500 transacciones al mes y estará sujeto a tarifas adicionales de Kount por sus servicios. Para empezar, póngase en contacto con accounts@braintreepayments.com. Puede ver más información <a href="https://developers.braintreepayments.com/javascript+php/guides/fraud-tools">aquí</a>."
"Braintree PHP SDK Version","Versión del SDK de PHP de Braintree"
"Braintree Status","Estado de Braintree"
"Braintree Transactions","Transacciones de Braintree"
"Braintree v.zero - Configuration","Braintree v.zero - Configuración"
"Braintree v.zero - Credit Card","Braintree v.zero - Tarjeta de crédito"
"Braintree v.zero - PayPal","Braintree v.zero - PayPal"
"Buy Now","Comprar ahora"
"Canada","Canadá"
"Cancel","Cancelar"
"Capture","Capturar"
"Capture Action","Acción de captura"
"Card Number","Número de tarjeta"
"Card Verification Number","Número de verificación de la tarjeta"
"Checkout with PayPal","Pagar con PayPal"
"Close","Cerrar"
"Complete checkout with","Complete el pago con"
"Complete Order Status","Estado de pedido completado"
"Credit Card Number","Número de tarjeta de crédito"
"Credit Card Types","Tipos de tarjeta de crédito"
"CSV","CSV"
"Currency","Moneda"
"CVV","CVV"
"CVV Verification","Verificación del CVV"
"Debug","Depuración"
"Debugging will cause a log to be written to the <strong>var/log/gene_braintree.log</strong> file. As no credit card data ever hits the server this file will never contain any crucial customer information.","La depuración provocará que se escriba un registro en el archivo <strong>var/log/gene_braintree.log</strong>. Como ningún dato de tarjeta de crédito llega al servidor, este archivo nunca contendrá información crucial del cliente."
"Display","Mostrar"
"Enable 3D Secure","Habilitar 3D Secure"
"Enabled","Habilitado"
"Enable Vault","Habilitar Vault"
"Enable Vault/Saved Cards","Habilitar Vault/Tarjetas guardadas"
"Environment","Entorno"
"Excel XML","Excel XML"
"Expiration Date","Fecha de caducidad"
"Expires:","Caduca:"
"Expiry Month","Mes de caducidad"
"Expiry Year","Año de caducidad"
"Failed","Fallido"
"Features","Funciones"
"France","Francia"
"Future Payments","Pagos futuros"
"Gateway Rejected","Rechazado por la pasarela"
"Gateway rejected: AVS","Se ha producido un problema al validar su dirección de facturación."
"Germany","Alemania"
"Grand total:","Total general:"
"Great Britain & Ireland","Gran Bretaña e Irlanda"
"Hong Kong","Hong Kong"
"ID","ID"
"If you're just authorizing transactions you can define at what point they should be submitted for settlement.","Si solo está autorizando transacciones, puede definir en qué momento deben enviarse para su liquidación."
"Invoice","Factura"
"is invalid.","no es válido."
"Italy","Italia"
"Kount Merchant ID","ID de comerciante de Kount"
"Locale","Configuración regional"
"Magento Braintree v.zero Version","Versión de Magento Braintree v.zero"
"Magento Order ID","ID de pedido de Magento"
"Magento Status","Estado de Magento"
"Merchant Account ID","ID de cuenta de comerciante"
"Merchant ID","ID de comerciante"
"New Credit Card","Nueva tarjeta de crédito"
"New Order Status","Estado de pedido nuevo"
"Payment Action","Acción de pago"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Payment Information","Información de pago"
"Payment Type","Tipo de pago"
"Place Order","Realizar pedido"
"Please provide a shipping address.","Proporcione una dirección de envío."
"Please select a shipping method.","Seleccione un método de envío."
"Private Key","Clave privada"
"Processor Declined","Rechazado por el procesador"
"Production","Producción"
"Public Key","Clave pública"
"Sadly, we're unable to accept this type of card, please try another.","Lamentablemente, no podemos aceptar este tipo de tarjeta, pruebe con otra."
"Sandbox","Sandbox"
"Saved Cards","Tarjetas guardadas"
"Saved Payment Information","Información de pago guardada"
"Save this account for future use","Guardar esta cuenta para uso futuro"
"Save this card for future use","Guardar esta tarjeta para uso futuro"
"Settled","Liquidado"
"Settlement Declined","Liquidación rechazada"
"Settlement Pending","Liquidación pendiente"
"Settling","Liquidando"
"Shipment","Envío"
"Shipping method:","Método de envío:"
"Should we verify the CVV against the card?","¿Debemos verificar el CVV con la tarjeta?"
"Single Payment","Pago único"
"Sorry, we were unable to process your request. Please try again.","Lo sentimos, no hemos podido procesar su solicitud. Vuelva a intentarlo."
"Sort Order","Orden de clasificación"
"Spain","España"
"Storing the customers PayPal in the vault will allow them to instantly purchase any product without having to login to PayPal again.","Almacenar la cuenta de PayPal del cliente en el vault le permitirá comprar cualquier producto de forma inmediata sin tener que iniciar sesión en PayPal de nuevo."
"Submitted For Settlement","Enviado para liquidación"
"Testing Settings","Ajustes de prueba"
"The 3D Secure feature enables the shopper to enter a password to confirm their identity with the card issuer. If accepted they then complete their order, and when received by you, you have much more confidence that is genuine and real.","La función 3D Secure permite al comprador introducir una contraseña para confirmar su identidad ante el emisor de la tarjeta. Si se acepta, completa su pedido y, cuando lo reciba, tendrá mucha más confianza en que es genuino y real."
"The following credit cards accounts are currently linked with your account.","Las siguientes cuentas de tarjeta de crédito están actualmente vinculadas a su cuenta."
"The following PayPal accounts are currently linked with your account.","Las siguientes cuentas de PayPal están actualmente vinculadas a su cuenta."
"The locale for the PayPal popup window","La configuración regional de la ventana emergente de PayPal"
"There are a number of errors present with the credit card form:","Hay varios errores presentes en el formulario de tarjeta de crédito:"
"There has been an issue processing your PayPal payment, please try again.","Se ha producido un problema al procesar su pago de PayPal, vuelva a intentarlo."
"There was an issue whilst trying to process your card payment, please try again or another method.","Se ha producido un problema al intentar procesar el pago con su tarjeta, vuelva a intentarlo u otro método."
"The vault allows you to securely store the customers credit card on Braintree's servers. We're provided with a token which allows the customer to make future payments without having to enter any details again.","El vault le permite almacenar de forma segura la tarjeta de crédito del cliente en los servidores de Braintree. Se nos proporciona un token que permite al cliente realizar pagos futuros sin tener que introducir ningún dato de nuevo."
"Title","Título"
"Transaction Date","Fecha de la transacción"
"Type","Tipo"
"United States","Estados Unidos"
"Unrecognized","No reconocido"
"Valid Credentials","Credenciales válidas"
"Voided","Anulado"
